chrome.fastest.parallel-10,chrome.fastest.parallel-20,chrome.fastest.parallel-30,chrome.fastest.parallel-40,chrome.fastest.parallel-50,chrome.fastest.parallel-60,chrome.fastest.parallel-70,chrome.fastest.parallel-80,chrome.fastest.parallel-90,chrome.fastest.parallel-100
43.700000047683716,57.39999985694885,72.59999990463257,85.79999995231628,97.59999990463257,111.40000009536743,121.5,157.79999995231628,160.79999995231628,166.89999985694885
46.5,60.799999952316284,74.29999995231628,86.60000014305115,99.60000014305115,109.40000009536743,130,137.20000004768372,155.40000009536743,168.39999985694885
42.5,57.299999952316284,70.59999990463257,90,101.5,116.59999990463257,128.79999995231628,142.10000014305115,151.89999985694885,168.79999995231628
44.700000047683716,60.30000019073486,72.09999990463257,93.79999995231628,97.79999995231628,112.29999995231628,131.70000004768372,143.89999985694885,154.09999990463257,171.80000019073486
44.09999990463257,58.200000047683716,72.59999990463257,86.10000014305115,95.60000014305115,112.20000004768372,128.10000014305115,146.40000009536743,151.79999995231628,169.5
43.200000047683716,57,71.20000004768372,83.69999980926514,101.10000014305115,116.90000009536743,127.39999985694885,141.09999990463257,151.59999990463257,170.29999995231628
46.90000009536743,58.299999952316284,73.20000004768372,88.59999990463257,105.70000004768372,113.29999995231628,126.60000014305115,144.70000004768372,155.5,167.5
43.30000019073486,58.30000019073486,75.70000004768372,87,99.20000004768372,114.20000004768372,128.20000004768372,143.90000009536743,154.70000004768372,172.89999985694885
46,62.10000014305115,70.79999995231628,91.19999980926514,105.09999990463257,111.70000004768372,125.29999995231628,143.5,151.20000004768372,177.5
44.200000047683716,58.89999985694885,71.79999995231628,82.20000004768372,98.09999990463257,118.79999995231628,128.69999980926514,148.89999985694885,154.10000014305115,167.59999990463257
42.59999990463257,56.299999952316284,71.10000014305115,85.5,102.90000009536743,112.70000004768372,125.39999985694885,138.79999995231628,156.30000019073486,171.39999985694885
43.299999952316284,56.89999985694885,73.79999995231628,89,102.79999995231628,112.90000009536743,128.90000009536743,133.90000009536743,155.20000004768372,165.20000004768372
44.89999985694885,58.700000047683716,73.90000009536743,84.90000009536743,100.90000009536743,117,128,137.39999985694885,163.89999985694885,168.19999980926514
43.700000047683716,58.799999952316284,71.70000004768372,88.20000004768372,96.89999985694885,113.80000019073486,125.70000004768372,142.70000004768372,163.40000009536743,168.29999995231628
43,58.30000019073486,72.59999990463257,87.20000004768372,99.29999995231628,120.09999990463257,130.70000004768372,145.70000004768372,151.5,165.39999985694885
41.799999952316284,54.40000009536743,70.79999995231628,84.20000004768372,100.60000014305115,116.59999990463257,123.79999995231628,149.79999995231628,160.09999990463257,173.09999990463257
42.700000047683716,56.09999990463257,78.20000004768372,85,99.5,111.89999985694885,128.20000004768372,142,156.90000009536743,164.09999990463257
44.299999952316284,59.5,71.60000014305115,91.20000004768372,98.89999985694885,114.90000009536743,126.20000004768372,147,157.29999995231628,169.79999995231628
44.200000047683716,59.700000047683716,78.40000009536743,85.29999995231628,101.70000004768372,114.89999985694885,125,139.20000004768372,157.59999990463257,167.19999980926514
45.80000019073486,60.200000047683716,72.5,86.70000004768372,100.40000009536743,115.70000004768372,127.70000004768372,138.79999995231628,154.60000014305115,169
