chrome.fastest.parallel-allmapped-esms-10,chrome.fastest.parallel-allmapped-esms-20,chrome.fastest.parallel-allmapped-esms-30,chrome.fastest.parallel-allmapped-esms-40,chrome.fastest.parallel-allmapped-esms-50,chrome.fastest.parallel-allmapped-esms-60,chrome.fastest.parallel-allmapped-esms-70,chrome.fastest.parallel-allmapped-esms-80,chrome.fastest.parallel-allmapped-esms-90,chrome.fastest.parallel-allmapped-esms-100
63.59999990463257,85.5,106.20000004768372,130.29999995231628,151.79999995231628,169.70000004768372,194.79999995231628,213.29999995231628,231.19999980926514,253.79999995231628
60.90000009536743,84.80000019073486,107.59999990463257,125.19999980926514,151.79999995231628,173.5,192.20000004768372,215.29999995231628,233.79999995231628,254.39999985694885
60.40000009536743,86.79999995231628,105.29999995231628,128.29999995231628,149.20000004768372,170.29999995231628,196,214.20000004768372,238.5,264.7999999523163
62.40000009536743,85,106,130.70000004768372,150.59999990463257,172.39999985694885,196.70000004768372,211,234.79999995231628,254.20000004768372
62.39999985694885,82.90000009536743,106.5,130.79999995231628,151.70000004768372,171.70000004768372,192.19999980926514,209.19999980926514,234.59999990463257,254.10000014305115
64.20000004768372,85,106.80000019073486,125.79999995231628,145.70000004768372,168.90000009536743,192.60000014305115,212.19999980926514,236.70000004768372,251.90000009536743
70.09999990463257,85.19999980926514,108.09999990463257,128.29999995231628,150.5,169.20000004768372,192.39999985694885,217,229.5,256.09999990463257
62.700000047683716,81.39999985694885,105.59999990463257,125.79999995231628,148.70000004768372,170.90000009536743,195.30000019073486,213,238.79999995231628,255.19999980926514
61.39999985694885,85.20000004768372,107.79999995231628,127.10000014305115,153.29999995231628,169.5,197,213.40000009536743,236.40000009536743,255.39999985694885
66,84.69999980926514,105.40000009536743,131.59999990463257,150.29999995231628,172.70000004768372,198.89999985694885,216,232.5,261.2999999523163
66,87.09999990463257,106,128.5,151.89999985694885,183.5,194.60000014305115,218.29999995231628,232.60000014305115,255.09999990463257
62.799999952316284,85.80000019073486,105.10000014305115,132.59999990463257,152,171.79999995231628,193.20000004768372,212.90000009536743,232.29999995231628,264.7000000476837
63.59999990463257,88.29999995231628,107.79999995231628,130,148,170.10000014305115,193.60000014305115,210.20000004768372,232.40000009536743,256.7999999523163
61.799999952316284,85.10000014305115,108.29999995231628,127.5,149.40000009536743,169.20000004768372,190.79999995231628,212.39999985694885,234.20000004768372,259.60000014305115
61.200000047683716,82,109.09999990463257,127.5,148.29999995231628,170.40000009536743,194.89999985694885,215.60000014305115,232.59999990463257,259.2000000476837
63.40000009536743,83.20000004768372,106.19999980926514,126.39999985694885,147.60000014305115,174.40000009536743,193.09999990463257,216.29999995231628,233.39999985694885,253.09999990463257
62.299999952316284,85.40000009536743,106.59999990463257,126.60000014305115,149.60000014305115,171.59999990463257,191.70000004768372,220.79999995231628,234.90000009536743,261
62.90000009536743,86.09999990463257,108.40000009536743,124.79999995231628,154.70000004768372,173.5,193.30000019073486,219.40000009536743,230.30000019073486,258.80000019073486
62.200000047683716,86.70000004768372,104.70000004768372,133.09999990463257,153.20000004768372,175.10000014305115,189.79999995231628,213.70000004768372,235.59999990463257,266.5
60.700000047683716,83.70000004768372,104.5,127.5,152.40000009536743,170,198.09999990463257,222,238.29999995231628,251
