chrome.fastest-cached.parallel-10,chrome.fastest-cached.parallel-20,chrome.fastest-cached.parallel-30,chrome.fastest-cached.parallel-40,chrome.fastest-cached.parallel-50,chrome.fastest-cached.parallel-60,chrome.fastest-cached.parallel-70,chrome.fastest-cached.parallel-80,chrome.fastest-cached.parallel-90,chrome.fastest-cached.parallel-100,chrome.fastest-cached.parallel-1000
28.200000002980232,156,165.09999999403954,175.70000000298023,179.69999998807907,191.1000000089407,193.90000000596046,204.20000000298023,213.79999999701977,220.6000000089407,1251.5
30.399999991059303,156.09999999403954,164.09999999403954,171.09999999403954,176.5,193.29999999701977,194.79999999701977,202.29999999701977,208.80000001192093,224.09999999403954,1085.5
27.799999997019768,161.5,165.20000000298023,171.40000000596046,180,183.79999999701977,193.59999999403954,201.5,212.1000000089407,228.20000000298023,1202.2999999970198
30.299999997019768,157,165.5,173.20000000298023,176.59999999403954,192.09999999403954,193.20000000298023,204.79999999701977,214.40000000596046,229.5,1042.0999999940395
27.899999991059303,154.5,165.8999999910593,169.29999999701977,185.8999999910593,192,193.79999999701977,201.79999999701977,207.1000000089407,220.79999999701977,1050.2999999970198
30.100000008940697,158.90000000596046,169.79999999701977,170.20000000298023,179.5,189.1000000089407,193.5,211.59999999403954,209.40000000596046,225.79999999701977,1025.0999999940395
29.599999994039536,155.70000000298023,162.1000000089407,170.1000000089407,180.1000000089407,189.70000000298023,199,206.6000000089407,208.40000000596046,224.20000000298023,1026.5999999940395
28.200000002980232,161.29999999701977,163.6000000089407,174.09999999403954,180,186.5,203.8999999910593,206.29999999701977,214.59999999403954,222.90000000596046,1028.1000000089407
32,160,161.8999999910593,171.40000000596046,178.5,187.59999999403954,201.59999999403954,208.20000000298023,214.5,217.5,1015
29.69999998807907,153.70000000298023,165,175.70000000298023,178.5,190.3999999910593,199.90000000596046,210.90000000596046,207.09999999403954,216.29999999701977,1010.7000000029802
31.200000002980232,157.59999999403954,162,168.5,175.3999999910593,185.90000000596046,192.80000001192093,201.79999999701977,216.40000000596046,226.09999999403954,1115.7000000029802
27.799999997019768,159.5,161.80000001192093,170,182.79999999701977,188.40000000596046,202.5,204.59999999403954,214,218.79999999701977,1010
29.799999997019768,158.40000000596046,160.79999999701977,169.5,182.09999999403954,184,193.5,209.8999999910593,210.79999999701977,224.3999999910593,995
31.399999991059303,155.90000000596046,152.90000000596046,167.69999998807907,177,190.70000000298023,199.70000000298023,203.5,219.79999999701977,219.1000000089407,979.0999999940395
30.100000008940697,158.29999999701977,163.90000000596046,165.59999999403954,180.09999999403954,189.09999999403954,195.40000000596046,202.1000000089407,210.5,227.20000000298023,995.7999999970198
26.700000002980232,156.8999999910593,170,179.79999999701977,178.09999999403954,188.8999999910593,198.6000000089407,205.20000000298023,219.79999999701977,227.29999999701977,993.7000000029802
28.799999997019768,156.79999999701977,172.6000000089407,170.79999999701977,181.29999999701977,185.90000000596046,204.40000000596046,200,208.40000000596046,232.1000000089407,970.5999999940395
28.69999998807907,160,161.90000000596046,174.79999999701977,181.29999999701977,187.29999999701977,199.5,200.3999999910593,211.70000000298023,231,975.7000000029802
27.099999994039536,153.90000000596046,165.80000001192093,174.70000000298023,177.70000000298023,186.1000000089407,211.80000001192093,204.09999999403954,215,220.6000000089407,970
26.700000002980232,156.20000000298023,166.69999998807907,182.70000000298023,180.79999999701977,187.59999999403954,192.59999999403954,211,210.30000001192093,223.1000000089407,971.4000000059605
