chrome.fastest-cached.parallel-mapped-esms-10,chrome.fastest-cached.parallel-mapped-esms-20,chrome.fastest-cached.parallel-mapped-esms-30,chrome.fastest-cached.parallel-mapped-esms-40,chrome.fastest-cached.parallel-mapped-esms-50,chrome.fastest-cached.parallel-mapped-esms-60,chrome.fastest-cached.parallel-mapped-esms-70,chrome.fastest-cached.parallel-mapped-esms-80,chrome.fastest-cached.parallel-mapped-esms-90,chrome.fastest-cached.parallel-mapped-esms-100,chrome.fastest-cached.parallel-mapped-esms-1000
53.79999999701977,166.20000000298023,179.19999998807907,175.29999999701977,192.29999999701977,189.70000000298023,198.5,214.90000000596046,220.59999999403954,224.20000000298023,1284.5999999940395
35.8999999910593,160.8999999910593,169.6000000089407,176.69999998807907,191.70000000298023,192.40000000596046,201.29999999701977,214.79999999701977,221.09999999403954,224.80000001192093,1232.4000000059605
39.29999999701977,165.8999999910593,173.19999998807907,175.40000000596046,182.69999998807907,195.29999999701977,204.29999999701977,213.5,217.90000000596046,230.90000000596046,1106.0999999940395
36.8999999910593,164.59999999403954,170.09999999403954,178.20000000298023,182.79999999701977,197,216.79999999701977,210.40000000596046,220.90000000596046,227.09999999403954,1036.2999999970198
36.5,163.09999999403954,172.1000000089407,177,182.79999999701977,195.79999999701977,200.30000001192093,213.29999999701977,221.5,230.19999998807907,1042.3999999910593
32,163.70000000298023,170.40000000596046,180.30000001192093,190.29999999701977,196.20000000298023,202.29999999701977,219.90000000596046,215.09999999403954,228.29999999701977,1035
34.30000001192093,166.09999999403954,176.90000000596046,174.80000001192093,190.29999999701977,198.29999999701977,201.5,209.29999999701977,218.20000000298023,227.79999999701977,1017
39.1000000089407,171.09999999403954,171.20000000298023,178.79999999701977,187.40000000596046,193,199.29999999701977,210.1000000089407,223.90000000596046,225.1000000089407,1093.5
35.79999999701977,163.20000000298023,171,184,190.79999999701977,201.79999999701977,202.30000001192093,210.5,221.69999998807907,228.20000000298023,1012.6999999880791
37.20000000298023,165,170.09999999403954,176.70000000298023,185.20000000298023,195.5,201.3999999910593,208.70000000298023,230.90000000596046,225.5,1015.2999999970198
35,165.90000000596046,171.70000000298023,183.80000001192093,185.5,198.09999999403954,207.09999999403954,206.20000000298023,214.59999999403954,222.09999999403954,1018.2999999970198
36,159.79999999701977,173.70000000298023,185.20000000298023,190.20000000298023,195.90000000596046,197.40000000596046,211.20000000298023,219.5,226.6000000089407,996.2000000029802
39,165.5,173.20000000298023,179.1000000089407,186.70000000298023,193.5,210,208.29999999701977,219.69999998807907,223.29999999701977,1001
35.79999999701977,163,169.69999998807907,180,188.29999999701977,192.20000000298023,205.29999999701977,215,217.8999999910593,216.29999999701977,992.6000000089407
32.70000000298023,163.90000000596046,173.70000000298023,184.29999999701977,188.29999999701977,193.80000001192093,205.5,209.40000000596046,221.79999999701977,221,964.5999999940395
36.3999999910593,163.09999999403954,170.70000000298023,180.19999998807907,188.40000000596046,196.20000000298023,201.29999999701977,217.29999999701977,221.5,218,984.5
39.69999998807907,164,169.3999999910593,182.20000000298023,186.79999999701977,196.1000000089407,202.09999999403954,212.1000000089407,218.59999999403954,229.29999999701977,983.7000000029802
34.80000001192093,166.3999999910593,173,182.80000001192093,185.29999999701977,195.29999999701977,203.3999999910593,214.70000000298023,221.80000001192093,217.69999998807907,954.5
36.400000005960464,162.30000001192093,176.29999999701977,178.59999999403954,185.90000000596046,197.29999999701977,205.29999999701977,214.1000000089407,228.40000000596046,218,969.7000000029802
36.80000001192093,165.1000000089407,181.40000000596046,179.29999999701977,186.5,197.29999999701977,204.79999999701977,215.8999999910593,214.90000000596046,219.3999999910593,931
