chrome.fastest.parallel-mapped-esms-10,chrome.fastest.parallel-mapped-esms-20,chrome.fastest.parallel-mapped-esms-30,chrome.fastest.parallel-mapped-esms-40,chrome.fastest.parallel-mapped-esms-50,chrome.fastest.parallel-mapped-esms-60,chrome.fastest.parallel-mapped-esms-70,chrome.fastest.parallel-mapped-esms-80,chrome.fastest.parallel-mapped-esms-90,chrome.fastest.parallel-mapped-esms-100
63.5,78.59999990463257,104.20000004768372,126,143.10000014305115,179,198.59999990463257,209.09999990463257,237.79999995231628,257
59.19999980926514,80,101.20000004768372,130.89999985694885,151.20000004768372,166,187,207.59999990463257,226.70000004768372,250.29999995231628
60.40000009536743,82.29999995231628,100.79999995231628,122.80000019073486,143.5,167.70000004768372,189.09999990463257,207,224.69999980926514,248.29999995231628
61.799999952316284,81.59999990463257,99.39999985694885,124,145.39999985694885,169,189.60000014305115,208.29999995231628,229.30000019073486,251.90000009536743
64.90000009536743,82,103.80000019073486,124.30000019073486,146.60000014305115,167,190.30000019073486,203.20000004768372,230.89999985694885,249.80000019073486
59.799999952316284,81.5,101.70000004768372,124.79999995231628,146.09999990463257,164,186.70000004768372,207.09999990463257,227.5,251.40000009536743
62.200000047683716,78.60000014305115,102.70000004768372,125.79999995231628,142.70000004768372,168,201.29999995231628,211.5,226.30000019073486,251.70000004768372
59.40000009536743,81.09999990463257,103.40000009536743,123.40000009536743,144.90000009536743,165.70000004768372,186.5,206.10000014305115,233.69999980926514,250.19999980926514
61.200000047683716,81.29999995231628,100.39999985694885,122.70000004768372,146.90000009536743,167.30000019073486,192.29999995231628,207.30000019073486,231.59999990463257,249.70000004768372
60.5,81.29999995231628,99.79999995231628,125.20000004768372,145.20000004768372,165.30000019073486,188.20000004768372,208.5,229.80000019073486,252
64.30000019073486,81.5,102.59999990463257,124.10000014305115,144.70000004768372,166.60000014305115,203.59999990463257,210.30000019073486,236.79999995231628,250.79999995231628
60.59999990463257,83.09999990463257,102.59999990463257,125.10000014305115,146.5,164.79999995231628,188.5,214.5,232.59999990463257,255.20000004768372
65.5,81,101.19999980926514,124.69999980926514,145.70000004768372,167.60000014305115,185.10000014305115,207,229.30000019073486,247.40000009536743
59.39999985694885,81.70000004768372,100.5,123.29999995231628,155.40000009536743,172,187,208.79999995231628,230.19999980926514,253.10000014305115
60.700000047683716,80.19999980926514,101,123.80000019073486,142.59999990463257,172.80000019073486,189.39999985694885,208.30000019073486,233.19999980926514,251.70000004768372
61.299999952316284,83.70000004768372,101.20000004768372,124.79999995231628,149.09999990463257,175,189.90000009536743,208.90000009536743,227.39999985694885,252.20000004768372
59,80.20000004768372,102.90000009536743,124,144.89999985694885,165.79999995231628,189.5,211.89999985694885,230.90000009536743,252
64.10000014305115,80.79999995231628,101.60000014305115,127.20000004768372,146.59999990463257,166.89999985694885,184.89999985694885,208.60000014305115,226,250.30000019073486
59.89999985694885,80.90000009536743,102.29999995231628,123.20000004768372,156.5,169.20000004768372,189,206.09999990463257,226.70000004768372,248
65,82.79999995231628,102.40000009536743,124.89999985694885,143.69999980926514,165.79999995231628,187.90000009536743,208.60000014305115,242.09999990463257,253.29999995231628
