chrome.fastest.parallel-mapped-10,chrome.fastest.parallel-mapped-20,chrome.fastest.parallel-mapped-30,chrome.fastest.parallel-mapped-40,chrome.fastest.parallel-mapped-50,chrome.fastest.parallel-mapped-60,chrome.fastest.parallel-mapped-70,chrome.fastest.parallel-mapped-80,chrome.fastest.parallel-mapped-90,chrome.fastest.parallel-mapped-100
52.40000009536743,73.09999990463257,92.70000004768372,111.59999990463257,134.39999985694885,154.40000009536743,175.29999995231628,197.70000004768372,217.10000014305115,238.09999990463257
52.90000009536743,74.59999990463257,93.5,114.70000004768372,134.90000009536743,155.20000004768372,176.10000014305115,194.70000004768372,214.89999985694885,239.40000009536743
52.59999990463257,71,92.59999990463257,113.79999995231628,133.89999985694885,157.10000014305115,174.90000009536743,195.90000009536743,215.90000009536743,236
52.299999952316284,72.89999985694885,94.80000019073486,114,132.40000009536743,156.5,174.79999995231628,193,227.5,235.59999990463257
51.299999952316284,71.59999990463257,92.79999995231628,115,133.40000009536743,152.89999985694885,175.5,194.60000014305115,214.69999980926514,238.59999990463257
52.200000047683716,73,92.20000004768372,113.09999990463257,134.39999985694885,156.5,176.39999985694885,198.20000004768372,215.59999990463257,239.89999985694885
49.60000014305115,71.90000009536743,92.70000004768372,113,137.10000014305115,156.70000004768372,176.79999995231628,196.70000004768372,218.5,236.59999990463257
53.89999985694885,74.10000014305115,92.60000014305115,116.79999995231628,134.29999995231628,155.39999985694885,176,199.19999980926514,217.09999990463257,239.79999995231628
53.59999990463257,73.5,94.79999995231628,114.20000004768372,134.5,152.70000004768372,177.70000004768372,195.70000004768372,218.40000009536743,238.60000014305115
52.299999952316284,73.5,93.39999985694885,112.10000014305115,132.70000004768372,159.59999990463257,176.70000004768372,196.69999980926514,214.40000009536743,238.20000004768372
54.09999990463257,73.09999990463257,93.09999990463257,113.80000019073486,133.79999995231628,153.79999995231628,177.5,194.29999995231628,215,238.10000014305115
50.60000014305115,72,92.59999990463257,113.79999995231628,135.80000019073486,155,176.29999995231628,195,216.70000004768372,235.70000004768372
52.30000019073486,70.30000019073486,93.30000019073486,114.10000014305115,135.10000014305115,154.29999995231628,174.20000004768372,193.5,216.90000009536743,238.89999985694885
52.30000019073486,72.70000004768372,94,114.70000004768372,132.5,154.89999985694885,175,196.70000004768372,216.40000009536743,233.20000004768372
52.799999952316284,73,92.90000009536743,114,134.10000014305115,154.89999985694885,175,195.70000004768372,216.20000004768372,237.20000004768372
50.700000047683716,72.29999995231628,90.29999995231628,112.70000004768372,136.10000014305115,156.40000009536743,177.59999990463257,197.29999995231628,219,238.10000014305115
54.299999952316284,72.29999995231628,92.20000004768372,115.09999990463257,131.89999985694885,156.29999995231628,176.29999995231628,195.20000004768372,218.10000014305115,236.19999980926514
53.5,73.20000004768372,92.70000004768372,116.5,136.09999990463257,156.40000009536743,174.59999990463257,197.5,217.5,234.70000004768372
54.5,71.40000009536743,94.29999995231628,114.79999995231628,134.70000004768372,156.20000004768372,175.60000014305115,193,215.90000009536743,238.39999985694885
52.700000047683716,73.29999995231628,93.89999985694885,112.89999985694885,134.79999995231628,154.29999995231628,175.70000004768372,200.70000004768372,216.19999980926514,237.5
