chrome.fastest.parallel-allmapped-10,chrome.fastest.parallel-allmapped-20,chrome.fastest.parallel-allmapped-30,chrome.fastest.parallel-allmapped-40,chrome.fastest.parallel-allmapped-50,chrome.fastest.parallel-allmapped-60,chrome.fastest.parallel-allmapped-70,chrome.fastest.parallel-allmapped-80,chrome.fastest.parallel-allmapped-90,chrome.fastest.parallel-allmapped-100
52.5,72.30000019073486,94.5,113.30000019073486,135.39999985694885,155.60000014305115,180.39999985694885,196.29999995231628,219,237.20000004768372
52.299999952316284,72.5,94.90000009536743,112.79999995231628,133.10000014305115,158.29999995231628,178.39999985694885,197.79999995231628,217.80000019073486,238
52.799999952316284,73.09999990463257,93.90000009536743,113.19999980926514,134.59999990463257,158.09999990463257,176.79999995231628,195.20000004768372,214.60000014305115,239.10000014305115
50.5,72.70000004768372,93.80000019073486,114.60000014305115,134,155.59999990463257,175.79999995231628,196.40000009536743,219.40000009536743,236.89999985694885
52.799999952316284,73.20000004768372,94,113.39999985694885,136.29999995231628,154.09999990463257,177.40000009536743,195.89999985694885,216.60000014305115,235.90000009536743
52.799999952316284,71.89999985694885,96.80000019073486,115.5,134.5,155.20000004768372,174.79999995231628,198.90000009536743,215.70000004768372,239.39999985694885
53.5,72.79999995231628,93.5,114.60000014305115,135.20000004768372,153.90000009536743,174.70000004768372,197.60000014305115,218.70000004768372,237.5
51.5,72.40000009536743,95.20000004768372,113.90000009536743,136.09999990463257,156.29999995231628,176.90000009536743,197.5,219.90000009536743,238
53.10000014305115,72.60000014305115,94.20000004768372,114.5,134.5,152.40000009536743,178.59999990463257,198,214.89999985694885,239.09999990463257
53.299999952316284,75.29999995231628,152.20000004768372,112.89999985694885,132.89999985694885,156.20000004768372,180.79999995231628,192.79999995231628,216.60000014305115,238.30000019073486
53.90000009536743,74.20000004768372,95,113.29999995231628,134.39999985694885,154.10000014305115,177.20000004768372,197.09999990463257,216,238.70000004768372
54.19999980926514,72.79999995231628,95.40000009536743,114.59999990463257,136.79999995231628,156.60000014305115,173.89999985694885,195,219,239.59999990463257
53,70.59999990463257,93.09999990463257,114.09999990463257,134.30000019073486,157.20000004768372,181.19999980926514,196.70000004768372,215.40000009536743,238.10000014305115
52.40000009536743,73.30000019073486,94.09999990463257,113.70000004768372,134.69999980926514,154.79999995231628,174.39999985694885,191.39999985694885,218.29999995231628,237.29999995231628
53.200000047683716,70,92.30000019073486,115,135.09999990463257,154.59999990463257,174.60000014305115,195.20000004768372,217.19999980926514,233.29999995231628
53.90000009536743,72.29999995231628,92.70000004768372,114.20000004768372,133.39999985694885,154.70000004768372,175.79999995231628,196.89999985694885,218.10000014305115,238.40000009536743
52.5,73.29999995231628,94.20000004768372,113.80000019073486,137,154.10000014305115,172.70000004768372,195,215.60000014305115,234.59999990463257
53.39999985694885,74,92.79999995231628,114.29999995231628,134.20000004768372,156.90000009536743,176.79999995231628,195.70000004768372,218.20000004768372,244.5
51.200000047683716,71.79999995231628,96.90000009536743,115.39999985694885,134,155.90000009536743,175.70000004768372,197,217.70000004768372,239.20000004768372
53.60000014305115,72.69999980926514,95.89999985694885,113.69999980926514,133.59999990463257,153.40000009536743,176.80000019073486,191.10000014305115,215.40000009536743,238.59999990463257
