chrome.slow.parallel-mapped-esms-10,chrome.slow.parallel-mapped-esms-20,chrome.slow.parallel-mapped-esms-30,chrome.slow.parallel-mapped-esms-40,chrome.slow.parallel-mapped-esms-50,chrome.slow.parallel-mapped-esms-60,chrome.slow.parallel-mapped-esms-70,chrome.slow.parallel-mapped-esms-80,chrome.slow.parallel-mapped-esms-90,chrome.slow.parallel-mapped-esms-100
180.20000000298023,218.5,215.70000000298023,222.3999999910593,232.5,234.79999999701977,266.6000000089407,264.8999999910593,275.79999999701977,285.6000000089407
196.5,218.29999999701977,222.29999999701977,236.6000000089407,243.90000000596046,243.29999999701977,247.90000000596046,268.5,274.29999999701977,274.79999999701977
180.79999999701977,216.70000000298023,226.29999999701977,235.5,239.09999999403954,247.09999999403954,263.5,269.29999999701977,273,283
194,213.29999999701977,214.29999999701977,236,227.5,235.8999999910593,256.5,261.5,282,254
191.90000000596046,221.79999999701977,222.90000000596046,217.70000000298023,242.59999999403954,238.69999998807907,247.29999999701977,269.40000000596046,258.5,294.5
188.79999999701977,204.70000000298023,239.20000000298023,223.5,225.6000000089407,256.5,266.70000000298023,266.5,257.5,280.30000001192093
197.5,210,219.3999999910593,234.70000000298023,237.5,233.09999999403954,267,259.1000000089407,266.8999999910593,279.3999999910593
180.79999999701977,217.70000000298023,232.79999999701977,224.20000000298023,245.3999999910593,235.30000001192093,271.8999999910593,263,270.1000000089407,288.09999999403954
183.5,224,231.29999999701977,221.09999999403954,239.09999999403954,258.20000000298023,252.79999999701977,255.20000000298023,285,267.20000000298023
179.70000000298023,210.20000000298023,224.79999999701977,216.5,243.6000000089407,238.29999999701977,245,270.40000000596046,278.19999998807907,283.70000000298023
181.29999999701977,217.29999999701977,230.09999999403954,240.09999999403954,242,257.29999999701977,252.59999999403954,266.29999999701977,267.70000000298023,282.5
193.5,197.8999999910593,231.70000000298023,219.90000000596046,228.90000000596046,249.6000000089407,246.6000000089407,255.6000000089407,271.90000000596046,269.79999999701977
158.5,232.3999999910593,234.40000000596046,237.29999999701977,226.90000000596046,249.20000000298023,248.20000000298023,274.40000000596046,275.90000000596046,275.8999999910593
184.3999999910593,213.59999999403954,225.70000000298023,230.40000000596046,226.40000000596046,246.80000001192093,270.70000000298023,262.09999999403954,272.29999999701977,262.5
182.59999999403954,207.79999999701977,226.40000000596046,236,248,201,275,266.79999999701977,237.59999999403954,273.5
181,221.70000000298023,227.20000000298023,223.5,245,237.8999999910593,259.1000000089407,265.40000000596046,273.6000000089407,263.1000000089407
195.30000001192093,218.30000001192093,209,242.90000000596046,230.40000000596046,228,248.09999999403954,262.90000000596046,272.69999998807907,279.5
193.6000000089407,203.6000000089407,232.59999999403954,223.20000000298023,234.20000000298023,232.19999998807907,260.69999998807907,272.29999999701977,264.09999999403954,284.59999999403954
186.09999999403954,219.8999999910593,209.70000000298023,240.5,226.5,255.09999999403954,250.3999999910593,257.70000000298023,283.8999999910593,280.79999999701977
194.20000000298023,207.59999999403954,225,231.3999999910593,225.8999999910593,242.20000000298023,247.09999999403954,264.1000000089407,281.8999999910593,268.29999999701977
