chrome.slow.parallel-allmapped-10,chrome.slow.parallel-allmapped-20,chrome.slow.parallel-allmapped-30,chrome.slow.parallel-allmapped-40,chrome.slow.parallel-allmapped-50,chrome.slow.parallel-allmapped-60,chrome.slow.parallel-allmapped-70,chrome.slow.parallel-allmapped-80,chrome.slow.parallel-allmapped-90,chrome.slow.parallel-allmapped-100
141.70000004768372,151.5,161.10000014305115,163.70000004768372,160,178.5,197.79999995231628,223.29999995231628,235.89999985694885,268.19999980926514
140.5,151.29999995231628,152.10000014305115,164.69999980926514,162.29999995231628,180.69999980926514,200.39999985694885,224.29999995231628,238.39999985694885,270.7000000476837
143,148.39999985694885,158,166.20000004768372,161.29999995231628,182.59999990463257,189.5,233.5,239.29999995231628,257.89999985694885
143.10000014305115,149.39999985694885,158.79999995231628,164.39999985694885,170.10000014305115,191.79999995231628,190,209.40000009536743,228.40000009536743,269
144.5,151.70000004768372,157.09999990463257,164.39999985694885,162,180.70000004768372,193.39999985694885,223.89999985694885,238.5,261.39999985694885
141.70000004768372,152.39999985694885,160.79999995231628,168.20000004768372,160.40000009536743,198.39999985694885,188.09999990463257,225.20000004768372,242.29999995231628,272.09999990463257
143.20000004768372,153.40000009536743,163.59999990463257,170.29999995231628,163.40000009536743,174,196.5,223,228.09999990463257,273.10000014305115
140.40000009536743,149.30000019073486,161.29999995231628,171.69999980926514,163.29999995231628,184.5,192.70000004768372,222.70000004768372,240.10000014305115,255.59999990463257
147.30000019073486,151.20000004768372,160.40000009536743,170.30000019073486,161.70000004768372,180.40000009536743,192.30000019073486,225.70000004768372,229.30000019073486,260.2000000476837
144.20000004768372,148.29999995231628,161.19999980926514,165.10000014305115,165.39999985694885,180.09999990463257,195.09999990463257,220.40000009536743,250.40000009536743,267.69999980926514
141.40000009536743,153.19999980926514,160,165.5,162.20000004768372,181.69999980926514,193.5,223,243.20000004768372,259.90000009536743
140.90000009536743,180,159.90000009536743,164.10000014305115,161.19999980926514,180.59999990463257,190.40000009536743,221,231.30000019073486,271.60000014305115
124.70000004768372,150.20000004768372,154.59999990463257,167.90000009536743,161.79999995231628,180.10000014305115,196.70000004768372,223.89999985694885,228.5,271
143.70000004768372,148.70000004768372,161.20000004768372,165.29999995231628,162.70000004768372,181.70000004768372,189,235.30000019073486,243.5,277.40000009536743
140.10000014305115,144.5,163.5,168.79999995231628,160.89999985694885,184.40000009536743,197.09999990463257,221.29999995231628,228.70000004768372,257.90000009536743
145.29999995231628,145.90000009536743,156.40000009536743,169.30000019073486,163.20000004768372,184.20000004768372,191.89999985694885,234.90000009536743,238.20000004768372,255.19999980926514
143.79999995231628,150.20000004768372,164,166.09999990463257,158.70000004768372,175.90000009536743,197.39999985694885,223.40000009536743,231.29999995231628,272.5
136.09999990463257,148.40000009536743,167.09999990463257,166,162.09999990463257,183.59999990463257,196.60000014305115,218,248.90000009536743,253.89999985694885
143.89999985694885,152,168.5,174.20000004768372,165.90000009536743,179.5,193.89999985694885,222.70000004768372,227.79999995231628,266.60000014305115
146.5,152.90000009536743,159.29999995231628,170.59999990463257,161.89999985694885,179.69999980926514,192.40000009536743,233.70000004768372,230.29999995231628,271.2999999523163
